Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
11076.0,26.0,2006.0,10.0,361.0,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0,1020.0,1.0
9389.0,11.0,1985.0,4.0,361.0,29.08,3.58,6.81,0.77,40.24,71.0,21.0,7.5,24.0,1539.0,1.0
5613.0,26.0,2008.0,6.0,361.0,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,1020.0,1.0
11078.0,26.0,2009.0,10.0,361.0,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0,1020.0,1.0
7392.0,5.0,1996.0,7.0,361.0,11.27,8.89,10.22,1.0,31.37,71.0,21.0,7.5,24.0,1539.0,1.0
9778.0,5.0,1989.0,5.0,361.0,23.2,2.26,4.22,0.58,30.26,71.0,21.0,7.5,24.0,1539.0,1.0
6767.0,4.0,2006.0,4.0,361.0,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,1020.0,1.0
11074.0,26.0,2006.0,3.0,361.0,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,1020.0,1.0
6770.0,26.0,2009.0,4.0,361.0,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,1020.0,1.0
2615.0,11.0,1984.0,8.0,361.0,26.93,0.63,0.28,0.47,28.31,71.0,21.0,7.5,24.0,1539.0,1.0
6837.0,4.0,2005.0,9.0,361.0,9.05,10.95,1.93,2.74,24.67,71.0,21.0,7.5,24.0,1539.0,1.0
5612.0,4.0,2005.0,6.0,361.0,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,1020.0,1.0
7379.0,5.0,1999.0,7.0,361.0,9.0,6.18,7.2,0.71,23.1,71.0,21.0,7.5,24.0,1539.0,1.0
11068.0,26.0,2007.0,10.0,361.0,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,1020.0,1.0
4951.0,28.0,2010.0,3.0,325.0,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,617.0,1.0
11069.0,26.0,2009.0,10.0,361.0,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,1020.0,1.0
3743.0,17.0,2013.0,0.0,497.0,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,1220.0,5.0
3747.0,16.0,2004.0,0.0,497.0,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0,1220.0,5.0
9403.0,23.0,1990.0,4.0,361.0,12.78,3.75,3.54,0.55,20.61,71.0,21.0,7.5,24.0,1539.0,1.0
1025.0,4.0,2005.0,3.0,361.0,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,1020.0,1.0
7377.0,4.0,2006.0,7.0,361.0,6.38,4.46,6.04,1.36,18.25,71.0,21.0,7.5,24.0,1539.0,1.0
9396.0,5.0,1989.0,4.0,361.0,10.83,2.71,4.18,0.42,18.14,71.0,21.0,7.5,24.0,1539.0,1.0
9391.0,11.0,1988.0,4.0,361.0,9.54,3.44,3.84,0.46,17.28,71.0,21.0,7.5,24.0,1539.0,1.0
3743.0,28.0,2013.0,0.0,497.0,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,1220.0,5.0
3748.0,16.0,2002.0,0.0,497.0,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,1220.0,5.0
7393.0,6.0,2002.0,7.0,361.0,6.06,3.9,5.38,0.5,15.85,71.0,21.0,7.5,24.0,1539.0,1.0
1023.0,4.0,2005.0,5.0,361.0,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,1020.0,1.0
7371.0,4.0,2010.0,7.0,361.0,5.51,3.17,5.65,0.8,15.14,71.0,21.0,7.5,24.0,1539.0,1.0
3724.0,16.0,2001.0,6.0,458.0,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,1130.0,1.0
1249.0,28.0,2011.0,8.0,21.0,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,729.0,5.0
7416.0,5.0,1998.0,7.0,361.0,5.89,5.04,3.12,0.59,14.64,71.0,21.0,7.5,24.0,1539.0,1.0
1243.0,18.0,2015.0,8.0,21.0,6.03,5.86,0.36,2.38,14.63,71.0,21.0,7.5,24.0,1539.0,1.0
